user_id,elo,username,country,num_appearances,adjusted_median_pScore,final_score,global_rank,final_rank
8534840,420.6961925649866,DawnX,CN,24.0,1.3299012568096642,0.9764844040719123,17.0,1
15665805,378.99106242122286,konkawe,TH,46.0,1.395534927738109,0.9741970772547164,1163.0,2
10072733,416.27688790053486,myucchii,CL,62.0,1.3143070340225445,0.9681629999518659,3.0,3
17308009,385.1088126305476,Hello_Son,US,31.0,1.350132507877007,0.9617150922550133,85.0,4
11734610,350.6989427313721,Nepijin,US,56.0,1.3634059069226565,0.9451814068888212,54.0,5
13385865,408.87421060448287,Reyi,ID,49.0,1.2576685405834382,0.9432902170267105,41.0,6
12046267,411.6708851929452,--Pavin--,TH,78.0,1.2481744379514743,0.9416189170376077,51.0,7
11585213,405.02311103297535,Dystire,RU,24.0,1.2054724589084802,0.9222064436698285,15.0,8
17152485,385.24210435262745,dendro_,PE,16.0,1.2376737126254724,0.9215051983323139,44.0,9
29379793,372.5481230822395,klobuck,PL,18.0,1.2592433466877635,0.9213795329000543,104.0,10
23248427,377.1274811968131,-Veloce-,TW,35.0,1.2400152497873695,0.9173236279480357,39.0,11
36570108,395.3176706677888,FoaMelt1,CN,17.0,1.207564024114541,0.9169510749126715,471.0,12
8581031,404.4628595659885,Poca,KR,40.0,1.1792590596150605,0.9124679344420967,149.0,13
36120676,388.8656919616647,WOEM2436,CN,16.0,1.1919346305729646,0.9073594562016094,33.0,14
25445118,378.9502026044247,zKuri,BR,10.0,1.2002218630943289,0.904193948416498,144.0,15
17668607,399.4858069839972,[BBC]Senzawa,MX,16.0,1.1473231429450672,0.8979464594465015,336.0,16
27552902,348.56954794023994,[GB]ParasolTree,CN,33.0,1.2347485844594372,0.8977678928183894,22.0,17
12489832,392.9451848735449,spanner dude,GB,48.0,1.1554744142338351,0.8968202657418602,56.0,18
10344857,364.7722550767791,Naaaad,KR,49.0,1.1915579336696376,0.8923179055882559,13.0,19
18121419,401.80358207193456,lyvet,PH,37.0,1.1266774772702206,0.8919834209052404,34.0,20
20360332,348.1087608430977,bambi fnf,CL,18.0,1.205101538953416,0.886860696273912,140.0,21
18236316,339.82687135474214,Sawdust Inhaler,CA,8.0,1.2177973326574798,0.8862854188817451,206.0,22
11313227,404.1108051617129,Quotient,HK,53.0,1.1006681961366591,0.884092147935199,59.0,23
16407268,391.2200774851528,_dev_,US,31.0,1.1067053369905957,0.8782796878144337,291.0,24
11649450,388.86730511316864,ime,ES,31.0,1.102962020604855,0.875482853703949,120.0,25
10083439,401.1054077897256,bojii,PH,18.0,1.081081756161535,0.8752151731242711,5.0,26
